"year","cfs","cms"
1922,1230,34.8296884866642
1923,1450,41.0593888663927
1924,1880,53.2356214267713
1925,1760,49.8376030378284
1926,970,27.4673153106214
1927,2500,70.7920497696427
1928,2500,70.7920497696427
1929,1520,43.0415662599427
1930,857,24.2675146610335
1931,1220,34.5465202875856
1932,1520,43.0415662599427
1933,1700,48.138593843357
1934,1840,52.102948630457
1935,1130,31.9980064958785
1936,2800,79.2870957419998
1937,1200,33.9801838894285
1938,2350,66.5445267834641
1939,1200,33.9801838894285
1940,1930,54.6514624221641
1941,1430,40.4930524682356
1942,1560,44.174239056257
1943,1740,49.2712666396713
1944,1660,47.0059210470427
1945,2670,75.6059091539784
1946,2660,75.3227409548998
1947,1430,40.4930524682356
1948,1600,45.3069118525713
1949,1480,41.9088934636285
1950,874,24.7489005994671
1951,3660,103.639560862757
1952,2390,67.6771995797784
1953,2740,77.5880865475284
1954,1490,42.192061662707
1955,2260,63.996012991757
1956,3460,97.9761968811854
1957,1580,44.7405754544142
1958,1650,46.7227528479642
1959,1470,41.6257252645499
1960,2930,82.9682823300212
1961,1780,50.4039394359856
1962,2350,66.5445267834641
1963,1620,45.8732482507284
1964,1610,45.5900800516499
1965,774,21.9172186086814
1966,862,24.4090987605728
1967,2010,56.9168080147927
1968,4040,114.399952427743
1969,1490,42.192061662707
1970,2840,80.4197685383141
1971,3240,91.7464965014569
1972,3830,108.453420247093
1973,3360,95.1445148903997
1974,2870,81.2692731355498
1975,4300,121.762325603785
1976,2480,70.2257133714855
1977,2980,84.3841233254141
1978,4500,127.425689585357
1979,2700,76.4554137512141
1980,2920,82.6851141309426
1981,241,6.82435359779355
1982,1310,37.0950340792928
1983,3100,87.7821417143569
1984,4500,127.425689585357
1985,49,1.387524175485
1986,1120,31.7148382967999
1987,3840,108.736588446171
1988,1230,34.8296884866642
1989,4630,131.106876173378
1990,3370,95.4276830894783
1991,1960,55.5009670193999
1992,2300,65.1286857880713
1993,1950,55.2177988203213
1994,1910,54.085126024007
1995,81,2.29366241253642
1996,2780,78.7207593438426
1997,2090,59.1821536074213
1998,2010,56.9168080147927
1999,9760,276.372162300685
2000,1860,52.6692850286141
2001,1820,51.5366122322999
2002,69,1.95386057364214
2003,2190,62.013835598207
2004,2910,82.4019459318641
2005,2410,68.2435359779355
2006,2410,68.2435359779355
2007,11600,328.475110931142
2008,1700,48.138593843357
2009,1790,50.6871076350642
2010,4280,121.195989205628
2011,10500,297.326609032499
2012,3360,95.1445148903997
2013,3270,92.5960010986926
2014,2830,80.1366003392355
2015,579,16.3954387266492
